Company Name,cluster,percent,keyword
Allexceed Việt Nam,0,41.18,"văn_phòng_đẹp, môi_trường_tốt, chế_độ_tốt, nhân_viên_tốt, đồng_nghiệp_trẻ, lương_ổn, sếp_thoải_mái, văn_phòng_tốt, môi_trường_tuyệt_vời, vẻ_hòa, môi_trường_thoải_mái, văn_phòng_rộng_rãi, sếp_tốt, thời_thoải_mái, phúc_lợi_tốt, văn_phòng_sạch, công_nghệ_cũ, kỹ_năng_mềm, sách_tốt, máy_xịn"
Allexceed Việt Nam,4,23.53,"môi_trường_năng_động, giấc_thoải_mái, công_tốt, vật_chất_tốt, đồng_nghiệp_giỏi, văn_phòng_xịn, lương_hợp_lý, lương_tạm, benefit_tốt, năng_động_chuyên_nghiệp, văn_phòng_đẹp, môi_trường_tốt, chế_độ_tốt, nhân_viên_tốt, đồng_nghiệp_trẻ, lương_ổn, sếp_thoải_mái, văn_phòng_tốt, môi_trường_tuyệt_vời, vẻ_hòa"
Alpaca Vietnam,1,40.0,"văn_phòng_đẹp, môi_trường_tốt, chế_độ_tốt, nhân_viên_tốt, đồng_nghiệp_trẻ, lương_ổn, sếp_thoải_mái, văn_phòng_tốt, môi_trường_tuyệt_vời, vẻ_hòa, môi_trường_thoải_mái, văn_phòng_rộng_rãi, sếp_tốt, thời_thoải_mái, phúc_lợi_tốt, văn_phòng_sạch, công_nghệ_cũ, kỹ_năng_mềm, sách_tốt, máy_xịn"
Alpaca Vietnam,0,20.0,"văn_phòng_đẹp, môi_trường_tốt, chế_độ_tốt, nhân_viên_tốt, đồng_nghiệp_trẻ, lương_ổn, sếp_thoải_mái, văn_phòng_tốt, môi_trường_tuyệt_vời, vẻ_hòa, môi_trường_thoải_mái, văn_phòng_rộng_rãi, sếp_tốt, thời_thoải_mái, phúc_lợi_tốt, văn_phòng_sạch, công_nghệ_cũ, kỹ_năng_mềm, sách_tốt, máy_xịn"
Asilla,0,40.0,"văn_phòng_đẹp, môi_trường_tốt, chế_độ_tốt, nhân_viên_tốt, đồng_nghiệp_trẻ, lương_ổn, sếp_thoải_mái, văn_phòng_tốt, môi_trường_tuyệt_vời, vẻ_hòa, môi_trường_thoải_mái, văn_phòng_rộng_rãi, sếp_tốt, thời_thoải_mái, phúc_lợi_tốt, văn_phòng_sạch, công_nghệ_cũ, kỹ_năng_mềm, sách_tốt, máy_xịn"
Asilla,5,20.0,"môi_trường_chuyên_nghiệp, lương_chậm, lương_tốt, văn_phòng_hiện_đại, văn_phòng_thoải_mái, bãi_rộng_rãi, phúc_lợi_ổn, campus_đẹp, nhân_viên_trẻ, dự_án_cũ, văn_phòng_đẹp, môi_trường_tốt, chế_độ_tốt, nhân_viên_tốt, đồng_nghiệp_trẻ, lương_ổn, sếp_thoải_mái, văn_phòng_tốt, môi_trường_tuyệt_vời, vẻ_hòa"
Athena Studio,0,40.0,"văn_phòng_đẹp, môi_trường_tốt, chế_độ_tốt, nhân_viên_tốt, đồng_nghiệp_trẻ, lương_ổn, sếp_thoải_mái, văn_phòng_tốt, môi_trường_tuyệt_vời, vẻ_hòa, môi_trường_thoải_mái, văn_phòng_rộng_rãi, sếp_tốt, thời_thoải_mái, phúc_lợi_tốt, văn_phòng_sạch, công_nghệ_cũ, kỹ_năng_mềm, sách_tốt, máy_xịn"
Athena Studio,1,16.0,"văn_phòng_đẹp, môi_trường_tốt, chế_độ_tốt, nhân_viên_tốt, đồng_nghiệp_trẻ, lương_ổn, sếp_thoải_mái, văn_phòng_tốt, môi_trường_tuyệt_vời, vẻ_hòa, môi_trường_thoải_mái, văn_phòng_rộng_rãi, sếp_tốt, thời_thoải_mái, phúc_lợi_tốt, văn_phòng_sạch, công_nghệ_cũ, kỹ_năng_mềm, sách_tốt, máy_xịn"
Aviron,0,75.0,"văn_phòng_đẹp, môi_trường_tốt, chế_độ_tốt, nhân_viên_tốt, đồng_nghiệp_trẻ, lương_ổn, sếp_thoải_mái, văn_phòng_tốt, môi_trường_tuyệt_vời, vẻ_hòa, môi_trường_thoải_mái, văn_phòng_rộng_rãi, sếp_tốt, thời_thoải_mái, phúc_lợi_tốt, văn_phòng_sạch, công_nghệ_cũ, kỹ_năng_mềm, sách_tốt, máy_xịn"
Aviron,2,25.0,"môi_trường_trẻ, văn_phòng_rộng, đồng_nghiệp_tốt, lợi_ích_tốt, cảnh_đẹp, đãi_ngộ_tốt, thân_thiện_sẵn_sàng, công_rộng, sếp_giỏi, đồng_nghiệp_tuyệt_vời, văn_phòng_đẹp, môi_trường_tốt, chế_độ_tốt, nhân_viên_tốt, đồng_nghiệp_trẻ, lương_ổn, sếp_thoải_mái, văn_phòng_tốt, môi_trường_tuyệt_vời, vẻ_hòa"
